,Unnamed: 0,Unnamed: 0.1,cement,slag,flyash,water,superplasticizer,coarseaggregate,fineaggregate,age,csMPa
0,0,0,540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.99
1,1,1,540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89
2,2,2,332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27
3,3,3,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05
4,4,4,198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.3
5,5,5,266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03
6,6,6,380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.7
7,7,7,380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.45
8,8,8,266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85
9,9,9,475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29
10,10,10,198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.07
11,11,11,198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.02
12,12,12,427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01
13,13,13,190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.33
14,14,14,304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.81
15,15,15,380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.91
16,16,16,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.36
17,17,17,342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.14
18,18,18,380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.56
19,19,19,475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.62
20,20,20,427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.84
21,21,21,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.24
22,22,22,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06
23,23,23,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.21
24,24,24,380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.52
25,25,25,380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,53.3
26,26,26,380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15
27,27,27,342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.12
28,28,28,427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.43
29,29,29,475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.6
30,30,30,304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.26
31,31,31,266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.91
32,32,32,198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.72
33,33,33,475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.13
34,34,34,190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69
35,35,35,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.41
36,36,36,237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.08
37,37,37,332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.72
38,38,38,475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.23
39,39,39,237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.25
40,40,40,342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46
41,41,41,427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.7
42,42,42,237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,39.0
43,43,43,380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.1
44,44,44,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.54
45,45,45,427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,35.08
46,46,46,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.05
47,47,47,380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.76
48,48,48,237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26
49,49,49,380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.82
50,50,50,332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.78
51,51,51,190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.93
52,52,52,237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,33.12
53,53,53,304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.19
54,54,54,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.59
55,55,55,198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,14.64
56,56,56,475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,41.93
57,57,57,198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.13
58,58,58,304.0,76.0,0.0,228.0,0.0,932.0,670.0,180,50.95
59,59,59,332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,33.02
60,60,60,304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,54.38
61,61,61,266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,51.73
62,62,62,310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.87
63,63,63,190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,50.66
64,64,64,266.0,114.0,0.0,228.0,0.0,932.0,670.0,180,48.7
65,65,65,342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,55.06
66,66,66,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.7
67,67,67,332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,30.28
68,68,68,190.0,190.0,0.0,228.0,0.0,932.0,670.0,28,40.86
69,69,69,485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,71.99
70,70,70,374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.4
71,71,71,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,28.8
72,72,72,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4
73,73,73,425.0,106.3,0.0,151.4,18.6,936.0,803.7,3,36.3
74,74,74,375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,29.0
75,75,75,475.0,118.8,0.0,181.1,8.9,852.1,781.5,3,37.8
76,76,76,469.0,117.2,0.0,137.8,32.2,852.1,840.5,3,40.2
77,77,77,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4
78,78,78,388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.1
79,79,79,531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,41.3
80,80,80,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4
81,81,81,318.8,212.5,0.0,155.7,14.3,852.1,880.4,3,25.2
82,82,82,401.8,94.7,0.0,147.4,11.4,946.8,852.1,3,41.1
83,83,83,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
84,84,84,323.7,282.8,0.0,183.8,10.3,942.7,659.9,3,28.3
85,85,85,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3,28.6
86,86,86,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
87,87,87,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3,24.4
88,88,88,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
89,89,89,439.0,177.0,0.0,186.0,11.1,884.9,707.9,3,39.3
90,90,90,389.9,189.0,0.0,145.9,22.0,944.7,755.8,3,40.6
91,91,91,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
92,92,92,337.9,189.0,0.0,174.9,9.5,944.7,755.8,3,24.1
93,93,93,374.0,189.2,0.0,170.1,10.1,926.1,756.7,7,46.2
94,94,94,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7,42.8
95,95,95,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2
96,96,96,425.0,106.3,0.0,151.4,18.6,936.0,803.7,7,46.8
97,97,97,375.0,93.8,0.0,126.6,23.4,852.1,992.6,7,45.7
98,98,98,475.0,118.8,0.0,181.1,8.9,852.1,781.5,7,55.6
99,99,99,469.0,117.2,0.0,137.8,32.2,852.1,840.5,7,54.9
100,100,100,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2
